datetime,tide_m,pair,month,day
2023-06-14 07:23:00,2.08,2,6,14
2023-06-14 13:47:00,0.76,3,6,14
2023-06-14 19:48:00,1.6,4,6,14
2023-06-15 01:12:00,0.96,1,6,15
2023-06-15 07:47:00,2.22,2,6,15
2023-06-15 14:47:00,0.55,3,6,15
2023-06-15 21:09:00,1.53,4,6,15
2023-06-16 01:47:00,1.07,1,6,16
2023-06-16 08:12:00,2.36,2,6,16
2023-06-16 15:40:00,0.38,3,6,16
2023-06-16 22:14:00,1.5,4,6,16
2023-06-17 02:19:00,1.14,1,6,17
2023-06-17 08:41:00,2.46,2,6,17
2023-06-17 16:29:00,0.27,3,6,17
2023-06-17 23:02:00,1.48,4,6,17
2023-06-18 02:50:00,1.2,1,6,18
2023-06-18 09:13:00,2.52,2,6,18
2023-06-18 17:14:00,0.22,3,6,18
2023-06-18 23:44:00,1.48,4,6,18
2023-06-19 03:21:00,1.23,1,6,19
2023-06-19 09:47:00,2.53,2,6,19
2023-06-19 17:56:00,0.21,3,6,19
2023-06-20 00:23:00,1.47,1,6,20
2023-06-20 03:53:00,1.25,2,6,20
2023-06-20 10:22:00,2.51,3,6,20
